id,token0_id,token0_name,token0_symbol,token1_id,token1_name,token1_symbol,txCount,volumeUSD
0x087f573e94e76fe26f613e1525e1b63c0508f82a,0xaeded551f7527d46c22f318d861e62f7f9a16437,The Moon,TTM,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0880879377a07c6381ee6b5c45db29d760ee39c3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd5a001305e929836c2cf902450013d365c719215,Bams Monster ,BAMS,5,23.6018516113252897443428967651533
0x08821ee59620db51fb356a97e09d4d4f3b432790,0x614798e4753c3a54cd5a8900cb9d54c7a29b86dc,EcoVibe,Vibe,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,4,674.8460545065249492212366397613055
0x0883893f0a60abe6ee54c33efd049a8e9f060dd5,0x22ee6d9d4ef62c99fcfea28f18acd1ac0040e883,Lumina,LMA,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,4,0
0x0883c634a00b04a917ae2ba772120f99715b38a4,0x89fca8d81f158649208312bbf97954e1d3cb0818,GOBURS,GBU,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD Token,BUSD,5,0.9995134007353345668518504782142455
0x088464e4e8cc54bf91180cbb8c61c68aecc74166,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xd06716e1ff2e492cc5034c2e81805562dd3b45fa,Magpie Token,MGP,131355,77971812.75762280209437385173621614
0x0886eb0bcc51eff7fd5621ea5bd741b56b07564e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0xe6df917ce3f9aee582a54895844e2d039a1643d9,Tether USD,USDT,3,16.66622999682590400850429635929334
0x0887455101ea6e90df55fce6aa6ba0bbc9903539,0x5033a47136fcd215022cf38506e55184dd317ccd,YSDT tok,Ysdt,0x55d398326f99059ff775485246999027b3197955,Tether USD,USDT,13,2.385043586747241319079874979619829
0x0887530269aa25c1b920160cd8779a37231a72e8,0x7f7f06b90575d2192f026a43f573af7483136dda,etf,sdvsvb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x0887bcfd143e48665241230d60984cbfd85bafaf,0x892c87a04d5f7ea5f38183a6032d508dd22a2e70,MANGO DAO,MANGO,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
0x088820f4555fd2975b3e1e08915489be42b2bb5d,0x48b5acacfed9cf5bc9a7a766d3b0a13288674b22,Gene Mutator,GENE1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Wrapped BNB,WBNB,0,0
